course_id,term,term_index,post_redesign,course_term_id,n_students,final_grade_mean,final_grade_sd,olse_mean
ENGR 106,2025SP,20251,0,ENGR 106__2025SP,21,2.642857142857143,0.6592203186882429,3.531746031746032
ENGR 140,2025F,20253,0,ENGR 140__2025F,20,2.64,0.8720212455161738,3.443333333333334
ENGR 140,2025SP,20251,0,ENGR 140__2025SP,20,2.315,0.6869267945368208,3.4116666666666657
ENGR 140,2026SP,20261,1,ENGR 140__2026SP,45,2.7888888888888888,0.48953699006966256,3.5859259259259257
ENGR 17,2024F,20243,0,ENGR 17__2024F,19,2.4157894736842103,0.452478554304249,3.350877192982456
ENGR 17,2024SP,20241,0,ENGR 17__2024SP,20,2.185,0.7285710600028553,3.268333333333333
ENGR 17,2026SP,20261,1,ENGR 17__2026SP,44,2.725,0.7136949384129601,3.606818181818181
ENVS 10,2025F,20253,0,ENVS 10__2025F,41,2.7146341463414636,0.7528482501838455,3.6186991869918694
ENVS 10,2025SP,20251,0,ENVS 10__2025SP,21,2.5238095238095237,0.7968091125889325,3.4841269841269837
ENVS 10,2026SP,20261,1,ENVS 10__2026SP,22,2.85,0.8639609779547752,3.634848484848485
ETHN 70,2024F,20243,0,ETHN 70__2024F,19,2.036842105263158,0.7861371991621009,3.4912280701754392
ETHN 70,2024SP,20241,0,ETHN 70__2024SP,20,2.06,0.7394165552009659,3.6416666666666666
ETHN 70,2025F,20253,1,ETHN 70__2025F,21,1.9714285714285715,0.5423493865976592,3.7857142857142865
ETHN 70,2025SP,20251,0,ETHN 70__2025SP,21,2.0904761904761906,0.9164631808778584,3.4714285714285724
FSHD 50,2024F,20243,0,FSHD 50__2024F,19,1.8842105263157891,0.434949751752668,3.2105263157894735
FSHD 50,2024SP,20241,0,FSHD 50__2024SP,20,2.01,0.7047956030689061,3.225
FSHD 50,2026SP,20261,1,FSHD 50__2026SP,44,1.9659090909090908,0.6462569083138227,3.398484848484848
HIST 51,2024F,20243,0,HIST 51__2024F,41,2.6365853658536587,0.6970495310811763,3.511382113821138
HIST 51,2024SP,20241,0,HIST 51__2024SP,20,2.815,0.626834150817885,3.443333333333333
HIST 51,2026SP,20261,1,HIST 51__2026SP,22,2.981818181818182,0.5704103482300839,3.722727272727272
JOUR 50,2024F,20243,0,JOUR 50__2024F,20,2.015,0.3815136060207386,3.4166666666666665
JOUR 50,2024SP,20241,0,JOUR 50__2024SP,20,1.9,0.5534580286468742,3.4516666666666653
JOUR 50,2025F,20253,1,JOUR 50__2025F,21,2.342857142857143,0.4995712447403559,3.6619047619047618
JOUR 50,2025SP,20251,1,JOUR 50__2025SP,21,2.3380952380952382,0.6152041860034686,3.512698412698412
MGMT 117,2025F,20253,0,MGMT 117__2025F,20,2.26,0.7443824710173493,3.5350000000000006
MGMT 117,2025SP,20251,0,MGMT 117__2025SP,20,2.38,0.5961278562964758,3.5399999999999996
MGMT 117,2026SP,20261,1,MGMT 117__2026SP,45,2.8377777777777777,0.6678625637362854,3.808888888888889
PHIL 104,2024F,20243,0,PHIL 104__2024F,19,2.7421052631578946,0.4167543767332453,3.3701754385964913
PHIL 104,2024SP,20241,0,PHIL 104__2024SP,20,2.575,0.7002818981253944,3.186666666666667
PHIL 104,2025F,20253,1,PHIL 104__2025F,21,3.3333333333333335,0.6452389738177114,3.6253968253968254
PHIL 104,2025SP,20251,0,PHIL 104__2025SP,21,2.4857142857142858,0.9302073501567888,3.3333333333333335
RPTA 33,2024F,20243,0,RPTA 33__2024F,19,3.021052631578947,0.7627282517154534,3.5842105263157893
RPTA 33,2024SP,20241,0,RPTA 33__2024SP,20,3.055,0.8556161214986666,3.628333333333334
RPTA 33,2025F,20253,1,RPTA 33__2025F,21,3.4952380952380953,0.6445744258626698,3.73968253968254
RPTA 33,2025SP,20251,0,RPTA 33__2025SP,21,2.8857142857142857,0.8131947579059484,3.7000000000000006
STAT 1,2025F,20253,0,STAT 1__2025F,42,2.7333333333333334,0.594965326584162,3.515873015873016
STAT 1,2025SP,20251,0,STAT 1__2025SP,22,2.368181818181818,0.8391528401772166,3.354545454545455
STAT 1,2026SP,20261,1,STAT 1__2026SP,22,2.422727272727273,0.7373903910036995,3.3257575757575757
