student_id,course_id,term,section_id,instructor_id,switch_term,post_redesign,redesign_status,final_numeric_grade,final_grade_letter_sampled,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q1_7,q1_8,q2_1,q2_2,q2_3,q2_4,q2_5,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q4_1,q4_2,q4_3,q4_4,q4_5,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,olse_q1_mean,olse_q2_mean,olse_q3_mean,olse_q4_mean,olse_q5_mean,olse_overall_mean,olse_overall_z,term_index,course_term_id,section_term_id,final_numeric_grade_z,olse_overall_student_z,final_grade_letter_checked,cluster_1_delta,cluster_2_delta,cluster_3_delta,cluster_4_delta,cluster_5_delta,cluster_6_delta,cluster_7_delta,cluster_8_delta,mastery_redesign,social_vicarious_redesign,structural_compliance_redesign,redesign_intensity,mastery_redesign_z,social_vicarious_redesign_z,structural_compliance_redesign_z,redesign_intensity_z,cluster_1_delta_z,post_x_cluster_1_delta_z,cluster_2_delta_z,post_x_cluster_2_delta_z,cluster_3_delta_z,post_x_cluster_3_delta_z,cluster_4_delta_z,post_x_cluster_4_delta_z,cluster_5_delta_z,post_x_cluster_5_delta_z,cluster_6_delta_z,post_x_cluster_6_delta_z,cluster_7_delta_z,post_x_cluster_7_delta_z,cluster_8_delta_z,post_x_cluster_8_delta_z,post_x_mastery_redesign_z,post_x_social_vicarious_redesign_z,post_x_structural_compliance_redesign_z,post_x_redesign_intensity_z
STU_000099,ASTR 4B,2024SP,S02,INST_ASTR4B_02,2025SP,0,Pre-Redesign,2,C,4,4,3,3,3,5,3,3,3,4,3,5,4,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3.5,3.8,3.16666666666667,3.2,3.16666666666667,3.36666666666667,-0.299350180920041,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S02,-0.7033370001179466,-0.2819997144046263,C,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_001487,ASTR 4B,2024SP,S02,INST_ASTR4B_02,2025SP,0,Pre-Redesign,0.7,D-,3,2,3,2,3,3,4,3,2,2,3,3,3,3,2,3,2,2,3,2,2,3,2,2,3,3,3,3,4,3,2.875,2.6,2.5,2.2,3.16666666666667,2.7,-1.73784568714935,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S02,-2.338094287507247,-1.737721696911563,D-,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_001468,ASTR 4B,2024SP,S03,INST_ASTR4B_03,2025SP,0,Pre-Redesign,1.3,D+,3,3,3,3,3,2,3,4,4,2,4,3,2,3,4,3,3,3,4,4,3,3,3,3,2,3,3,3,2,3,3,3,3.33333333333333,3.2,2.66666666666667,3.03333333333333,-1.0185979340347,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S03,-1.5835909240968005,-1.0098607056581053,D+,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_001020,ASTR 4B,2024SP,S03,INST_ASTR4B_03,2025SP,0,Pre-Redesign,1.3,D+,3,2,3,2,3,3,3,3,4,3,3,3,2,4,3,3,4,3,2,4,3,2,3,3,3,3,4,3,3,3,2.75,3,3.16666666666667,3,3.16666666666667,3,-1.09052270934616,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S03,-1.5835909240968005,-1.0826468047834448,D+,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000481,ASTR 4B,2024SP,S03,INST_ASTR4B_03,2025SP,0,Pre-Redesign,3.7,A-,3,5,3,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,2,4,4,3,4,4,3,3,3,4,3.75,3.8,3.8333333333333295,3.4,3.5,3.6666666666666705,0.347972796883149,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S03,1.4344225295449842,0.37307517772349386,A-,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000940,ASTR 4B,2024SP,S03,INST_ASTR4B_03,2025SP,0,Pre-Redesign,3.3,B+,2,4,4,3,4,3,4,3,4,4,3,3,3,3,3,4,4,2,3,3,3,4,3,4,3,4,4,2,3,3,3.375,3.4,3.16666666666667,3.4,3.16666666666667,3.3,-0.443199731542972,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S03,0.9314202872713531,-0.42757191265532657,B+,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_001417,ASTR 4B,2024SP,S03,INST_ASTR4B_03,2025SP,0,Pre-Redesign,2,C,4,2,3,3,4,3,4,3,3,4,3,3,3,3,2,4,2,3,2,2,4,3,3,2,2,3,2,3,3,3,3.25,3.2,2.66666666666667,2.8,2.66666666666667,2.93333333333333,-1.23437225996909,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S03,-0.7033370001179466,-1.228219003034145,C,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_001158,ASTR 4B,2024SP,S04,INST_ASTR4B_01,2025SP,0,Pre-Redesign,2.3,C+,2,4,2,4,4,3,3,4,3,4,3,4,4,3,2,3,4,3,4,3,4,5,3,3,3,3,4,3,2,3,3.25,3.6,3.16666666666667,3.6,3,3.3,-0.443199731542972,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S04,-0.3260853184127238,-0.42757191265532657,C+,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_001426,ASTR 4B,2024SP,S05,INST_ASTR4B_02,2025SP,0,Pre-Redesign,2,C,3,3,3,2,3,2,2,3,2,3,4,3,3,2,2,2,3,3,3,3,3,4,2,4,3,3,3,3,3,2,2.625,3,2.5,3.2,2.83333333333333,2.8,-1.52207136121496,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S05,-0.7033370001179466,-1.5193633995355242,C,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000114,ASTR 4B,2024SP,S05,INST_ASTR4B_02,2025SP,0,Pre-Redesign,3,B,3,3,5,4,4,3,4,4,3,3,4,5,4,4,3,5,4,3,4,3,4,3,3,4,2,4,3,3,4,4,3.75,3.8,3.8333333333333295,3.4,3.33333333333333,3.63333333333333,0.276048021571684,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S05,0.5541686055661302,0.3002890785981321,B,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000844,ASTR 4B,2024F,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,2.7,B-,4,5,3,4,4,3,4,3,5,5,3,4,3,4,4,3,4,4,4,3,3,4,4,5,4,4,4,4,4,2,3.75,4,3.8333333333333295,3.8,3.6666666666666705,3.8,0.635671898129011,20243,ASTR 4B__2024F,ASTR 4B__2024F__S01,0.17691692386090738,0.6642195742248711,B-,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000382,ASTR 4B,2024F,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,2.7,B-,5,4,4,3,4,4,4,3,3,4,4,4,3,4,3,4,4,4,3,4,4,3,3,4,4,4,4,4,3,4,3.875,3.6,3.6666666666666705,3.6,3.8333333333333295,3.73333333333333,0.491822347506081,20243,ASTR 4B__2024F,ASTR 4B__2024F__S01,0.17691692386090738,0.5186473759741709,B-,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_001211,ASTR 4B,2024F,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,2.7,B-,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,5,5,3,4,3,3,4,2,3,4,4,5,4,3.6,4,3.6,3.6666666666666705,3.8,0.635671898129011,20243,ASTR 4B__2024F,ASTR 4B__2024F__S01,0.17691692386090738,0.6642195742248711,B-,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000117,ASTR 4B,2024F,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,2,C,3,3,2,3,3,3,3,3,2,2,3,2,4,3,3,2,2,3,3,3,3,3,3,2,3,2,2,3,2,3,2.875,2.6,2.66666666666667,2.8,2.5,2.7,-1.73784568714935,20243,ASTR 4B__2024F,ASTR 4B__2024F__S01,-0.7033370001179466,-1.737721696911563,C,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000665,ASTR 4B,2024F,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,2.3,C+,2,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,3,3,4,4,3,3,3.2,3.16666666666667,3.8,3.5,3.3,-0.443199731542972,20243,ASTR 4B__2024F,ASTR 4B__2024F__S01,-0.3260853184127238,-0.42757191265532657,C+,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000513,ASTR 4B,2024F,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,0,F,4,1,3,3,2,3,3,4,2,2,3,2,2,1,3,3,3,3,3,3,2,3,3,2,2,3,2,3,2,3,2.875,2.2,2.66666666666667,2.6,2.5,2.6,-1.95362001308375,20243,ASTR 4B__2024F,ASTR 4B__2024F__S01,-3.2183482114861004,-1.9560799942876028,F,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000707,ASTR 4B,2024F,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,1.7,C-,3,3,3,3,4,3,3,3,2,4,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3.125,2.6,3.16666666666667,3,2.83333333333333,2.96666666666667,-1.16244748465763,20243,ASTR 4B__2024F,ASTR 4B__2024F__S01,-1.0805886818231698,-1.1554329039087843,C-,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000456,ASTR 4B,2024F,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,2.7,B-,3,2,3,1,2,3,2,2,2,2,2,2,1,3,2,3,3,2,1,2,3,3,2,3,1,1,2,3,3,2,2.25,1.8,2.33333333333333,2.6,2,2.2,-2.81671731682134,20243,ASTR 4B__2024F,ASTR 4B__2024F__S01,0.17691692386090738,-2.829513183791761,B-,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_001188,ASTR 4B,2024F,S02,INST_ASTR4B_02,2025SP,0,Pre-Redesign,2,C,5,4,3,4,4,4,3,4,4,3,2,3,4,3,4,4,3,3,5,3,3,4,2,4,4,5,4,4,4,3,3.875,3.2,3.6666666666666705,3.2,4,3.63333333333333,0.276048021571684,20243,ASTR 4B__2024F,ASTR 4B__2024F__S02,-0.7033370001179466,0.3002890785981321,C,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000496,ASTR 4B,2024F,S02,INST_ASTR4B_02,2025SP,0,Pre-Redesign,1,D,3,2,3,2,2,3,3,3,1,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,3,1,3,3,2.625,2,2.16666666666667,2.2,2.33333333333333,2.3,-2.60094299088694,20243,ASTR 4B__2024F,ASTR 4B__2024F__S02,-1.9608426058020236,-2.611154886415722,D,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
