course_id,term,section_id,instructor_id,switch_term,post_redesign,redesign_status,enrollment_n,avg_numeric_grade,median_numeric_grade,mode_letter_grade,avg_olse_overall,mastery_redesign,social_vicarious_redesign,structural_compliance_redesign,redesign_intensity,mastery_redesign_z,social_vicarious_redesign_z,structural_compliance_redesign_z,redesign_intensity_z
CRJ 117,2024F,S02,INST_CRJ117_02,2025SP,0,Pre-Redesign,7,2.085714,2.0,C,3.370034,0.125409,0.22,0.148636,0.154864,-0.637836,0.344885,-0.349958,-0.635741
CRJ 117,2024F,S03,INST_CRJ117_03,2025SP,0,Pre-Redesign,6,2.5,2.5,B-,3.662778,0.125409,0.22,0.148636,0.154864,-0.637836,0.344885,-0.349958,-0.635741
CRJ 117,2025SP,S01,INST_CRJ117_01,2025SP,1,Post-Redesign,7,2.771429,2.7,A-,3.549048,0.125409,0.22,0.148636,0.154864,-0.637836,0.344885,-0.349958,-0.635741
CRJ 117,2025SP,S02,INST_CRJ117_02,2025SP,1,Post-Redesign,7,2.671429,2.7,B,3.699762,0.125409,0.22,0.148636,0.154864,-0.637836,0.344885,-0.349958,-0.635741
CRJ 117,2025SP,S03,INST_CRJ117_03,2025SP,1,Post-Redesign,7,2.528571,2.7,B-,3.792619,0.125409,0.22,0.148636,0.154864,-0.637836,0.344885,-0.349958,-0.635741
CRJ 117,2025F,S01,INST_CRJ117_01,2025SP,1,Post-Redesign,7,2.3,2.7,B-,3.632381,0.125409,0.22,0.148636,0.154864,-0.637836,0.344885,-0.349958,-0.635741
CRJ 117,2025F,S02,INST_CRJ117_02,2025SP,1,Post-Redesign,7,2.885714,3.0,B+,3.798571,0.125409,0.22,0.148636,0.154864,-0.637836,0.344885,-0.349958,-0.635741
CRJ 117,2025F,S03,INST_CRJ117_03,2025SP,1,Post-Redesign,7,2.857143,3.0,B+,3.873571,0.125409,0.22,0.148636,0.154864,-0.637836,0.344885,-0.349958,-0.635741
CSC 130,2024SP,S01,INST_CSC130_01,2025SP,0,Pre-Redesign,4,2.35,2.35,B,3.200417,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
CSC 130,2024SP,S02,INST_CSC130_02,2025SP,0,Pre-Redesign,3,2.533333,2.3,B+,3.428889,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
CSC 130,2024SP,S03,INST_CSC130_03,2025SP,0,Pre-Redesign,4,2.575,2.65,A-,3.528333,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
CSC 130,2024SP,S04,INST_CSC130_01,2025SP,0,Pre-Redesign,9,2.433333,2.3,C+,3.487778,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
CSC 130,2024F,S01,INST_CSC130_01,2025SP,0,Pre-Redesign,3,2.566667,2.7,B,3.300873,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
CSC 130,2024F,S02,INST_CSC130_02,2025SP,0,Pre-Redesign,4,1.725,2.3,C+,3.765536,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
CSC 130,2024F,S03,INST_CSC130_03,2025SP,0,Pre-Redesign,3,2.566667,2.7,B,3.618333,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
CSC 130,2024F,S04,INST_CSC130_01,2025SP,0,Pre-Redesign,8,2.3375,2.15,C,3.7025,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
CSC 130,2024F,S05,INST_CSC130_02,2025SP,0,Pre-Redesign,1,1.3,1.3,D+,3.636667,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
CSC 130,2025SP,S01,INST_CSC130_01,2025SP,1,Post-Redesign,7,2.571429,2.7,B+,3.506429,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
CSC 130,2025SP,S02,INST_CSC130_02,2025SP,1,Post-Redesign,7,2.557143,2.7,B+,3.363878,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
CSC 130,2025SP,S03,INST_CSC130_03,2025SP,1,Post-Redesign,7,2.442857,2.7,B-,3.365476,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
CSC 130,2025F,S01,INST_CSC130_01,2025SP,1,Post-Redesign,7,2.485714,2.7,B,3.526905,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
CSC 130,2025F,S02,INST_CSC130_02,2025SP,1,Post-Redesign,7,2.714286,2.7,B,3.478333,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
CSC 130,2025F,S03,INST_CSC130_03,2025SP,1,Post-Redesign,7,2.185714,2.3,D,3.558333,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
EEE 161,2025SP,S01,INST_EEE161_01,2026SP,0,Pre-Redesign,15,2.66,2.7,B,3.590333,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159
EEE 161,2025SP,S02,INST_EEE161_02,2026SP,0,Pre-Redesign,2,2.65,2.65,B+,3.7925,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159
EEE 161,2025SP,S03,INST_EEE161_03,2026SP,0,Pre-Redesign,3,2.133333,2.7,B-,3.147222,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159
EEE 161,2025F,S01,INST_EEE161_01,2026SP,0,Pre-Redesign,13,2.130769,2.3,B-,3.493846,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159
EEE 161,2025F,S02,INST_EEE161_02,2026SP,0,Pre-Redesign,1,1.3,1.3,D+,2.505,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159
EEE 161,2025F,S03,INST_EEE161_03,2026SP,0,Pre-Redesign,1,1.7,1.7,C-,2.961667,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159
EEE 161,2025F,S04,INST_EEE161_01,2026SP,0,Pre-Redesign,2,2.15,2.15,B,2.683333,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159
EEE 161,2025F,S05,INST_EEE161_02,2026SP,0,Pre-Redesign,2,2.35,2.35,B-,3.154167,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159
EEE 161,2026SP,S01,INST_EEE161_01,2026SP,1,Post-Redesign,7,2.671429,2.3,A-,3.688639,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159
EEE 161,2026SP,S02,INST_EEE161_02,2026SP,1,Post-Redesign,8,2.825,2.85,B,3.884196,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159
EEE 161,2026SP,S03,INST_EEE161_03,2026SP,1,Post-Redesign,7,2.671429,2.7,B-,3.635476,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159
EEE 161,2026SP,S04,INST_EEE161_01,2026SP,1,Post-Redesign,8,2.6625,2.7,B-,3.7,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159
EEE 161,2026SP,S05,INST_EEE161_02,2026SP,1,Post-Redesign,7,3.142857,3.0,B,3.885714,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159
EEE 161,2026SP,S06,INST_EEE161_03,2026SP,1,Post-Redesign,7,2.928571,2.7,B-,3.457143,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159
EHTN 11,2024SP,S01,INST_EHTN11_01,2025F,0,Pre-Redesign,7,1.857143,1.7,A,3.171429,0.203644,0.079167,0.2795,0.191489,0.666794,-0.975719,0.930685,0.598184
EHTN 11,2024SP,S02,INST_EHTN11_02,2025F,0,Pre-Redesign,6,3.216667,3.3,B+,3.418095,0.203644,0.079167,0.2795,0.191489,0.666794,-0.975719,0.930685,0.598184
EHTN 11,2024SP,S03,INST_EHTN11_03,2025F,0,Pre-Redesign,7,2.657143,2.7,B+,3.19381,0.203644,0.079167,0.2795,0.191489,0.666794,-0.975719,0.930685,0.598184
EHTN 11,2024F,S01,INST_EHTN11_01,2025F,0,Pre-Redesign,6,2.716667,2.65,B,3.321389,0.203644,0.079167,0.2795,0.191489,0.666794,-0.975719,0.930685,0.598184
EHTN 11,2024F,S02,INST_EHTN11_02,2025F,0,Pre-Redesign,7,2.571429,3.0,B+,3.324762,0.203644,0.079167,0.2795,0.191489,0.666794,-0.975719,0.930685,0.598184
EHTN 11,2024F,S03,INST_EHTN11_03,2025F,0,Pre-Redesign,6,2.916667,2.8,C+,3.595556,0.203644,0.079167,0.2795,0.191489,0.666794,-0.975719,0.930685,0.598184
EHTN 11,2025SP,S01,INST_EHTN11_01,2025F,0,Pre-Redesign,7,2.514286,2.7,B-,3.343333,0.203644,0.079167,0.2795,0.191489,0.666794,-0.975719,0.930685,0.598184
EHTN 11,2025SP,S02,INST_EHTN11_02,2025F,0,Pre-Redesign,7,2.642857,3.3,B+,3.399286,0.203644,0.079167,0.2795,0.191489,0.666794,-0.975719,0.930685,0.598184
EHTN 11,2025SP,S03,INST_EHTN11_03,2025F,0,Pre-Redesign,7,3.585714,3.7,A-,3.602619,0.203644,0.079167,0.2795,0.191489,0.666794,-0.975719,0.930685,0.598184
EHTN 11,2025F,S01,INST_EHTN11_01,2025F,1,Post-Redesign,7,3.285714,3.3,A-,3.529694,0.203644,0.079167,0.2795,0.191489,0.666794,-0.975719,0.930685,0.598184
EHTN 11,2025F,S02,INST_EHTN11_02,2025F,1,Post-Redesign,7,3.242857,3.0,B,3.63,0.203644,0.079167,0.2795,0.191489,0.666794,-0.975719,0.930685,0.598184
EHTN 11,2025F,S03,INST_EHTN11_03,2025F,1,Post-Redesign,7,3.542857,3.7,A-,3.597619,0.203644,0.079167,0.2795,0.191489,0.666794,-0.975719,0.930685,0.598184
ENGL 20,2024SP,S01,INST_ENGL20_01,2025F,0,Pre-Redesign,2,2.5,2.5,B+,3.806667,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024SP,S02,INST_ENGL20_02,2025F,0,Pre-Redesign,2,2.5,2.5,B,3.295,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024SP,S03,INST_ENGL20_03,2025F,0,Pre-Redesign,2,2.2,2.2,B-,3.275833,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024SP,S04,INST_ENGL20_01,2025F,0,Pre-Redesign,6,2.116667,2.15,B-,3.156944,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024SP,S05,INST_ENGL20_02,2025F,0,Pre-Redesign,1,3.3,3.3,B+,3.705,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024SP,S06,INST_ENGL20_03,2025F,0,Pre-Redesign,3,1.433333,1.3,B,3.017778,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024SP,S07,INST_ENGL20_01,2025F,0,Pre-Redesign,1,1.3,1.3,D+,2.343333,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024SP,S08,INST_ENGL20_02,2025F,0,Pre-Redesign,2,3.0,3.0,B+,3.371667,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024SP,S09,INST_ENGL20_03,2025F,0,Pre-Redesign,1,2.7,2.7,B-,2.876667,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024F,S01,INST_ENGL20_01,2025F,0,Pre-Redesign,2,3.0,3.0,B+,3.796667,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024F,S02,INST_ENGL20_02,2025F,0,Pre-Redesign,2,3.0,3.0,A-,3.482024,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024F,S03,INST_ENGL20_03,2025F,0,Pre-Redesign,1,3.3,3.3,B+,3.903333,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024F,S04,INST_ENGL20_01,2025F,0,Pre-Redesign,4,2.1,2.35,B,3.415179,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024F,S05,INST_ENGL20_02,2025F,0,Pre-Redesign,1,3.0,3.0,B,3.256667,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024F,S06,INST_ENGL20_03,2025F,0,Pre-Redesign,1,1.7,1.7,C-,2.495,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024F,S07,INST_ENGL20_01,2025F,0,Pre-Redesign,1,2.3,2.3,C+,3.253333,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024F,S08,INST_ENGL20_02,2025F,0,Pre-Redesign,2,2.5,2.5,B-,2.8675,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024F,S09,INST_ENGL20_03,2025F,0,Pre-Redesign,4,2.25,2.15,C,3.765833,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2024F,S10,INST_ENGL20_01,2025F,0,Pre-Redesign,1,2.7,2.7,B-,3.181905,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2025SP,S01,INST_ENGL20_01,2025F,0,Pre-Redesign,7,1.714286,2.0,C,3.35119,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2025SP,S02,INST_ENGL20_02,2025F,0,Pre-Redesign,7,2.585714,2.7,B-,3.292449,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2025SP,S03,INST_ENGL20_03,2025F,0,Pre-Redesign,7,2.385714,2.3,B-,3.086429,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2025F,S01,INST_ENGL20_01,2025F,1,Post-Redesign,7,2.557143,3.0,B,3.344762,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2025F,S02,INST_ENGL20_02,2025F,1,Post-Redesign,7,3.128571,3.3,B+,3.777143,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGL 20,2025F,S03,INST_ENGL20_03,2025F,1,Post-Redesign,7,2.771429,2.7,B-,3.422959,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGR 106,2024SP,S01,INST_ENGR106_01,2025F,0,Pre-Redesign,8,2.5375,2.85,B,3.290208,0.26825,0.285208,0.053591,0.218825,1.744142,0.956348,-1.280081,1.519151
ENGR 106,2024SP,S02,INST_ENGR106_02,2025F,0,Pre-Redesign,6,2.5,2.5,B,3.195,0.26825,0.285208,0.053591,0.218825,1.744142,0.956348,-1.280081,1.519151
ENGR 106,2024SP,S03,INST_ENGR106_03,2025F,0,Pre-Redesign,6,2.333333,2.85,B,3.660992,0.26825,0.285208,0.053591,0.218825,1.744142,0.956348,-1.280081,1.519151
ENGR 106,2024F,S01,INST_ENGR106_01,2025F,0,Pre-Redesign,6,2.616667,2.5,C-,3.430556,0.26825,0.285208,0.053591,0.218825,1.744142,0.956348,-1.280081,1.519151
ENGR 106,2024F,S02,INST_ENGR106_02,2025F,0,Pre-Redesign,7,1.814286,1.7,C,3.356667,0.26825,0.285208,0.053591,0.218825,1.744142,0.956348,-1.280081,1.519151
ENGR 106,2024F,S03,INST_ENGR106_03,2025F,0,Pre-Redesign,6,2.95,3.0,B,3.679444,0.26825,0.285208,0.053591,0.218825,1.744142,0.956348,-1.280081,1.519151
ENGR 106,2025SP,S01,INST_ENGR106_01,2025F,0,Pre-Redesign,7,2.485714,2.7,B-,3.300578,0.26825,0.285208,0.053591,0.218825,1.744142,0.956348,-1.280081,1.519151
ENGR 106,2025SP,S02,INST_ENGR106_02,2025F,0,Pre-Redesign,7,2.814286,2.7,B-,3.504626,0.26825,0.285208,0.053591,0.218825,1.744142,0.956348,-1.280081,1.519151
ENGR 106,2025SP,S03,INST_ENGR106_03,2025F,0,Pre-Redesign,7,2.628571,2.7,B-,3.755612,0.26825,0.285208,0.053591,0.218825,1.744142,0.956348,-1.280081,1.519151
ENGR 106,2025F,S01,INST_ENGR106_01,2025F,1,Post-Redesign,7,3.2,3.3,A-,3.728571,0.26825,0.285208,0.053591,0.218825,1.744142,0.956348,-1.280081,1.519151
ENGR 106,2025F,S02,INST_ENGR106_02,2025F,1,Post-Redesign,7,3.528571,3.7,A,4.014524,0.26825,0.285208,0.053591,0.218825,1.744142,0.956348,-1.280081,1.519151
ENGR 106,2025F,S03,INST_ENGR106_03,2025F,1,Post-Redesign,7,2.857143,3.0,B,3.524048,0.26825,0.285208,0.053591,0.218825,1.744142,0.956348,-1.280081,1.519151
ENGR 140,2025SP,S01,INST_ENGR140_01,2026SP,0,Pre-Redesign,7,2.528571,2.7,B-,3.526667,0.177158,0.041667,0.341409,0.184348,0.22511,-1.327359,1.536533,0.357598
ENGR 140,2025SP,S02,INST_ENGR140_02,2026SP,0,Pre-Redesign,6,2.283333,2.7,B-,3.381111,0.177158,0.041667,0.341409,0.184348,0.22511,-1.327359,1.536533,0.357598
ENGR 140,2025SP,S03,INST_ENGR140_03,2026SP,0,Pre-Redesign,7,2.128571,2.0,C,3.309286,0.177158,0.041667,0.341409,0.184348,0.22511,-1.327359,1.536533,0.357598
ENGR 140,2025F,S01,INST_ENGR140_01,2026SP,0,Pre-Redesign,7,3.242857,3.3,A,3.39,0.177158,0.041667,0.341409,0.184348,0.22511,-1.327359,1.536533,0.357598
ENGR 140,2025F,S02,INST_ENGR140_02,2026SP,0,Pre-Redesign,7,2.242857,2.3,B-,3.382619,0.177158,0.041667,0.341409,0.184348,0.22511,-1.327359,1.536533,0.357598
ENGR 140,2025F,S03,INST_ENGR140_03,2026SP,0,Pre-Redesign,6,2.4,2.5,A-,3.571111,0.177158,0.041667,0.341409,0.184348,0.22511,-1.327359,1.536533,0.357598
ENGR 140,2026SP,S01,INST_ENGR140_01,2026SP,1,Post-Redesign,8,3.0875,3.0,B-,3.688333,0.177158,0.041667,0.341409,0.184348,0.22511,-1.327359,1.536533,0.357598
ENGR 140,2026SP,S02,INST_ENGR140_02,2026SP,1,Post-Redesign,8,2.6625,2.5,C+,3.487917,0.177158,0.041667,0.341409,0.184348,0.22511,-1.327359,1.536533,0.357598
ENGR 140,2026SP,S03,INST_ENGR140_03,2026SP,1,Post-Redesign,7,2.671429,2.7,B-,3.52619,0.177158,0.041667,0.341409,0.184348,0.22511,-1.327359,1.536533,0.357598
ENGR 140,2026SP,S04,INST_ENGR140_01,2026SP,1,Post-Redesign,7,2.957143,3.0,B-,3.666667,0.177158,0.041667,0.341409,0.184348,0.22511,-1.327359,1.536533,0.357598
ENGR 140,2026SP,S05,INST_ENGR140_02,2026SP,1,Post-Redesign,8,2.7625,2.7,B-,3.758333,0.177158,0.041667,0.341409,0.184348,0.22511,-1.327359,1.536533,0.357598
ENGR 140,2026SP,S06,INST_ENGR140_03,2026SP,1,Post-Redesign,7,2.571429,2.7,C+,3.361905,0.177158,0.041667,0.341409,0.184348,0.22511,-1.327359,1.536533,0.357598
ENGR 17,2024SP,S01,INST_ENGR17_01,2026SP,0,Pre-Redesign,7,1.857143,2.0,C,3.015986,0.129397,0.24625,0.118773,0.155954,-0.571332,0.591033,-0.642206,-0.598996
ENGR 17,2024SP,S02,INST_ENGR17_02,2026SP,0,Pre-Redesign,6,2.233333,2.5,B-,3.370278,0.129397,0.24625,0.118773,0.155954,-0.571332,0.591033,-0.642206,-0.598996
ENGR 17,2024SP,S03,INST_ENGR17_03,2026SP,0,Pre-Redesign,7,2.471429,2.3,B-,3.417857,0.129397,0.24625,0.118773,0.155954,-0.571332,0.591033,-0.642206,-0.598996
ENGR 17,2024F,S01,INST_ENGR17_01,2026SP,0,Pre-Redesign,6,2.333333,2.3,C+,3.362183,0.129397,0.24625,0.118773,0.155954,-0.571332,0.591033,-0.642206,-0.598996
ENGR 17,2024F,S02,INST_ENGR17_02,2026SP,0,Pre-Redesign,7,2.557143,2.3,C+,3.345952,0.129397,0.24625,0.118773,0.155954,-0.571332,0.591033,-0.642206,-0.598996
ENGR 17,2024F,S03,INST_ENGR17_03,2026SP,0,Pre-Redesign,6,2.333333,2.3,C+,3.321667,0.129397,0.24625,0.118773,0.155954,-0.571332,0.591033,-0.642206,-0.598996
ENGR 17,2026SP,S01,INST_ENGR17_01,2026SP,1,Post-Redesign,8,2.05,2.0,B,3.550833,0.129397,0.24625,0.118773,0.155954,-0.571332,0.591033,-0.642206,-0.598996
