redesign_status,item,response,n,prop
post,q3_3,3,257,0.41054313099041534
post,q3_3,4,259,0.41373801916932906
post,q3_3,5,59,0.09424920127795527
post,q3_4,1,3,0.004792332268370607
post,q3_4,2,34,0.054313099041533544
post,q3_4,3,229,0.365814696485623
post,q3_4,4,298,0.476038338658147
post,q3_4,5,62,0.09904153354632587
post,q3_5,1,5,0.007987220447284345
post,q3_5,2,30,0.04792332268370607
post,q3_5,3,247,0.39456869009584666
post,q3_5,4,282,0.4504792332268371
post,q3_5,5,62,0.09904153354632587
post,q3_6,1,4,0.006389776357827476
post,q3_6,2,43,0.06869009584664537
post,q3_6,3,245,0.3913738019169329
post,q3_6,4,268,0.4281150159744409
post,q3_6,5,66,0.10543130990415335
post,q4_1,1,4,0.006389776357827476
post,q4_1,2,61,0.09744408945686901
post,q4_1,3,243,0.38817891373801916
post,q4_1,4,255,0.4073482428115016
post,q4_1,5,63,0.10063897763578275
post,q4_2,1,3,0.004792332268370607
post,q4_2,2,50,0.07987220447284345
post,q4_2,3,245,0.3913738019169329
post,q4_2,4,263,0.42012779552715657
post,q4_2,5,65,0.10383386581469649
post,q4_3,1,3,0.004792332268370607
post,q4_3,2,50,0.07987220447284345
post,q4_3,3,249,0.3977635782747604
post,q4_3,4,264,0.4217252396166134
post,q4_3,5,60,0.09584664536741214
post,q4_4,1,3,0.004792332268370607
post,q4_4,2,41,0.06549520766773163
post,q4_4,3,232,0.3706070287539936
post,q4_4,4,267,0.426517571884984
post,q4_4,5,83,0.13258785942492013
post,q4_5,1,4,0.006389776357827476
post,q4_5,2,42,0.0670926517571885
post,q4_5,3,237,0.37859424920127793
post,q4_5,4,293,0.4680511182108626
post,q4_5,5,50,0.07987220447284345
post,q5_1,1,8,0.012779552715654952
post,q5_1,2,44,0.07028753993610223
post,q5_1,3,247,0.39456869009584666
post,q5_1,4,277,0.4424920127795527
post,q5_1,5,50,0.07987220447284345
post,q5_2,1,5,0.007987220447284345
post,q5_2,2,40,0.06389776357827476
post,q5_2,3,246,0.3929712460063898
post,q5_2,4,277,0.4424920127795527
post,q5_2,5,58,0.0926517571884984
post,q5_3,1,6,0.009584664536741214
post,q5_3,2,38,0.06070287539936102
post,q5_3,3,237,0.37859424920127793
post,q5_3,4,282,0.4504792332268371
post,q5_3,5,63,0.10063897763578275
post,q5_4,1,2,0.003194888178913738
post,q5_4,2,47,0.07507987220447285
post,q5_4,3,233,0.3722044728434505
post,q5_4,4,277,0.4424920127795527
post,q5_4,5,67,0.10702875399361023
post,q5_5,1,3,0.004792332268370607
post,q5_5,2,42,0.0670926517571885
post,q5_5,3,239,0.3817891373801917
post,q5_5,4,283,0.4520766773162939
post,q5_5,5,59,0.09424920127795527
post,q5_6,1,4,0.006389776357827476
post,q5_6,2,37,0.05910543130990415
post,q5_6,3,230,0.36741214057507987
post,q5_6,4,291,0.46485623003194887
post,q5_6,5,64,0.10223642172523961
